bed,stg,Sbottom,Smid,Stop,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,MDS1,MDS2,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange
1,0,-5090,-4740,-4390,NA,5,NA,NA,NA,NA,17,33,NA,NA,50,NA,50,NA,0.34,1,-0.146457122,-0.137611436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1u,1,-4390,-4375,-4360,5,18,1,11,NA,9,3,63,1,32,71,588.4233379,99,33,0.04040404,0.666666667,-0.256040608,-0.160974295,0.030771659,1.088140989,1.609437912,2.890371758,0.708651367,NA,-0.271933715,NA,-0.0625,NA,-0.060624622,NA,0.083333333,0.125
2,2,-4360,-4320,-4280,18,25,13,19,15,4,1,22,2,93,52,88.40162822,118,95,0.025423729,0.194915254,-0.149960053,-0.140486873,0.021277398,0.212332635,0.3254224,0.653926467,-0.185403223,-1.830980182,0.027398974,-0.065957968,0,-0.068181818,0,-0.065957968,0.40625,0.290322581
3,3,-4280,-4265,-4250,25,20,12,8,8,11,0,20,2,113,73,84.02758933,135,115,0.014814815,0.148148148,-0.147918941,-0.225799474,0.01754431,0.16296131,0.733969175,0.510825624,-0.113328685,-0.389960922,0.062520357,0,0.060606061,0,0.062520357,0,0.6,0.451327434
4a,4,-4250,-4205,-4160,20,13,6,8,8,11,8,10,1,132,51,82.18588874,151,133,0.059602649,0.119205298,-0.170730119,-0.072763882,0.007547206,0.073025135,1.203972804,0.773189888,0.606135804,0.262364264,0.113328685,-0.046520016,0.107142857,0,0.113328685,0,0.428571429,0.242424242
4b,5,-4160,-4075,-3990,13,29,11,9,10,4,0,14,1,141,39,48.97249291,156,142,0.006410256,0.08974359,-0.220000882,-0.006456804,0.007067167,0.094665227,0.167054085,0.969400557,0.023953241,0.122102697,-0.087011377,0.236388778,-0.090909091,0.210526316,-0.087011377,0.236388778,0.55,0.170212766
5,6,-3990,-3900,-3810,29,23,13,2,9,6,2,29,2,153,84,66.93873291,186,155,0.021505376,0.166666667,-0.232795417,-0.177909663,0.012987196,0.173568766,0.802346473,0.570544858,0.003838776,-0.027292142,0.389464767,0.040821995,0.290322581,0.04,0.342944751,0.040821995,0.866666667,0.333333333
6,7,-3810,-3767.5,-3725,23,22,18,22,1,20,8,14,0,182,60,92.0850294,204,182,0.039215686,0.107843137,-0.289214373,-0.032469396,0,0.074107972,0.245122458,0.200670695,-0.206862666,0.057569852,-0.287682072,0.070617567,0,0,0,0,0.45,0.208791209
7,8,-3725,-3721.5,-3718,22,54,21,12,37,8,0,14,2,194,62,67.28784648,210,196,0.00952381,0.066666667,-0.27336206,-0.022747968,0.0102565,0.069679921,0.046520016,0.944461609,-0.012320484,0.145953913,-0.187211542,-0.0588405,-0.205882353,0,-0.187211542,0,0.636363636,0.237113402
8,9,-3718,-3634.5,-3551,54,58,33,2,12,4,5,16,13,195,129,94.49179721,229,208,0.07860262,0.091703057,-0.227627095,-0.066650701,0.064538521,0.078858575,0.492476485,0.563935449,0.067593291,0.111950325,0.361790045,0.244196961,0.285714286,0.216666667,0.336472237,0.244196961,0.942857143,0.487179487
9,10,-3551,-3409.5,-3268,58,20,17,9,1,31,4,9,18,193,104,109.8520233,224,211,0.098214286,0.058035714,-0.133930827,0.013036539,0.089167945,0.045577508,1.227229666,0.162518929,0.351760929,0.103678429,0.161641352,0.071458964,0.149253731,0,0.161641352,0,0.653846154,0.378238342
10,11,-3268,-3221.5,-3175,20,21,15,21,19,5,1,6,0,202,43,71.27381275,209,202,0.004784689,0.033492823,-0.250162508,0.099075465,0,0.029270382,0.287682072,0.336472237,0.15415068,-0.088410957,0,-0.269663567,0,-0.071428571,0,-0.068992871,0.416666667,0.178217822
11,12,-3175,-2981.5,-2788,21,36,14,2,13,14,12,22,10,198,94,74.19422369,242,208,0.090909091,0.140495868,-0.179506828,0.002626255,0.049271049,0.105360516,0.405465108,0.944461609,-0.287682072,0.068992871,-0.265703166,0.27029033,0,0.236842105,0,0.27029033,0.875,0.252525253
12,13,-2788,-2691.5,-2595,36,18,15,15,11,8,1,1,14,206,49,67.68249661,222,220,0.067567568,0.009009009,-0.141918167,0.083993108,0.065751378,0.004842624,0.875468737,0.182321557,0.344840486,0.048790164,0.294239473,-0.217064505,0.196078431,-0.242424242,0.218253566,-0.217064505,0.5,0.160194175
13a,14,-2595,-2503.5,-2412,18,30,10,7,12,7,5,32,1,206,100,117.4084125,244,207,0.024590164,0.151639344,-0.215072059,0.081183837,0.004842624,0.144394505,0.587786665,1.098612289,-0.682675881,0.405465108,0.040821995,0.243622083,0,0.216216216,0,0.243622083,0.588235294,0.300970874
13b,15,-2412,-2252,-2092,30,21,16,41,5,21,0,5,9,229,63,155.0050034,243,238,0.037037037,0.020576132,-0.098605042,0.110473872,0.03854867,0.021599112,0.628608659,0.271933715,-0.144581229,-0.258694536,-0.09402895,0,-0.098591549,0,-0.09402895,0,0.280701754,0.213973799
14,16,-2092,-2015.5,-1939,21,50,18,21,35,4,3,11,2,232,87,130.1852103,248,234,0.02016129,0.056451613,-0.177145621,0.094951425,0.008583744,0.046324072,0.15415068,1.021651248,-0.085079009,-0.248811298,-0.023530497,-0.041385216,-0.023809524,-0.042253521,-0.023530497,-0.041385216,0.461538462,0.306034483
15,17,-1939,-1739,-1539,50,67,37,10,17,1,4,8,7,236,110,96.50262203,255,243,0.043137255,0.047058824,-0.142710934,0.12728667,0.029229638,0.03333642,0.301105093,0.593774707,0.249811798,-0.179415181,0.223143551,0.184922338,0.05,0.090909091,0.051293294,0.09531018,0.787234043,0.38559322
16,18,-1539,-1334,-1129,67,24,19,1,1,4,3,13,4,240,112,81.42255231,260,244,0.026923077,0.061538462,-0.086769334,-0.093706317,0.016529302,0.052750565,1.26025364,0.233614851,0.700637852,-0.005614838,1.041453875,0.174353387,0.632352941,0.16,1.00063188,0.174353387,0.95,0.383333333
17,19,-1129,-1124.5,-1120,24,8,8,6,0,67,3,0,0,253,33,39.88432836,256,253,0.01171875,0.01171875,-0.062658574,0.182407484,0,0,1.098612289,0,-0.117783036,-0.051293294,-0.993251773,0,0,0,0,0,0.571428571,0.118577075
18,20,-1120,-1100,-1080,8,14,8,19,58,3,0,0,0,253,14,32.63263229,253,253,0,0,-0.148678027,0.102759234,0,0,0,0.559615788,0,-1.11E-16,-0.105360516,-0.946143695,-0.111111111,-0.121212121,-0.105360516,-0.114410351,0.296296296,0.055335968
19,21,-1080,-880,-680,14,49,13,0,19,1,10,4,10,243,139,95.99864315,267,253,0.074906367,0.052434457,-0.148057181,-0.015029919,0.040328045,0.016326893,0.074107972,1.326870941,-0.764221218,0.110475616,0,0.426084395,0,0.346938776,0,0.426084395,1,0.473251029
20,22,-680,-620,-560,49,39,32,42,0,36,7,2,21,226,112,178.8751696,256,247,0.109375,0.03515625,-0.158280881,0.110283255,0.088853337,0.00881063,0.426084395,0.197825743,-0.137384962,0.197825743,-0.189620859,0.090384061,-0.065934066,0,-0.063851472,0,0.432432432,0.362831858
21,23,-560,-501.5,-443,39,86,37,28,55,10,3,3,10,218,103,124.9680956,234,228,0.055555556,0.025641026,-0.157685505,0.136271432,0.044850566,0.013667639,0.052643733,0.843429384,0.015602462,0.005100193,-0.112795494,-0.051293294,-0.119402985,0,-0.112795494,0,0.569230769,0.399082569
22,24,-443,-339.5,-236,86,91,53,2,26,1,12,8,53,168,191,136.8896086,241,221,0.269709544,0.082987552,-0.118958893,0.057478454,0.274198722,0.046520016,0.484055383,0.540567593,0.19637331,-0.022901764,0.451985124,0.138150338,0.340909091,0.129032258,0.416893804,0.138150338,0.963636364,0.702380952
23a,25,-236,-203.5,-171,91,5,3,1,0,84,3,6,37,139,125,115.1062867,185,176,0.216216216,0.048648649,0.186071281,-0.384476501,0.236010062,0.042259809,3.412247218,0.510825624,0.291351801,0.473784352,0.044451763,0.405465108,0.043478261,0.333333333,0.044451763,0.405465108,0.75,0.568345324
23b,26,-171,-138.5,-106,5,5,3,65,23,1,0,1,1,144,10,156.54455,146,145,0.006849315,0.006849315,-0.039046228,0.082186602,0.006920443,0.006920443,0.510825624,0.510825624,NA,0.223143551,0.014388737,-0.262364264,0,-0.028571429,0,-0.028170877,0.044117647,0.055555556
24a,27,-106,-101,-96,5,63,0,1,37,0,0,14,19,126,115,NA,159,145,0.119496855,0.088050314,-0.000239155,0.141118889,0.140451835,0.105360516,NA,NA,NA,NA,1.791759469,0.521296924,0.833333333,0.40625,1.791759469,0.521296924,0,0.650793651
24b,28,-96,-90.5,-85,63,57,55,4,1,14,0,1,5,135,65,48.15628469,141,140,0.035460993,0.007092199,0.026947938,0.131010476,0.036367644,0.007380107,0.135801541,0.035718083,0.080741764,NA,-0.085766822,0.016529302,0,0,0,0,0.93220339,0.437037037
24c,29,-85,-76.5,-68,57,57,53,3,15,2,0,0,2,134,62,45.24328614,136,136,0.014705882,0,0.005411864,0.094684608,0.014815086,0,0.072759354,0.072759354,0.03275402,0.002555096,0.033901552,-0.168335315,0.033333333,0,0.033901552,0,0.946428571,0.447761194
24d,30,-68,-48.5,-29,57,61,49,2,3,0,1,2,10,124,78,56.06850719,137,134,0.080291971,0.02189781,0.022215895,0.059908593,0.077558234,0.016000341,0.15123097,0.219053566,0.033447934,0.163993789,0.145711811,0.15415068,0.118644068,0.142857143,0.126293725,0.15415068,0.960784314,0.524193548
24e,31,-29,-24,-19,61,22,16,2,1,10,1,0,38,88,75,58.27255767,127,126,0.307086614,0.007874016,0.101314831,-0.072212205,0.358945092,0,1.338285142,0.318453731,0.915428291,0.278448397,0.810930216,0.233614851,0.555555556,0.125,0.810930216,0.133531393,0.888888889,0.409090909
25,32,-19,-16.5,-14,22,43,19,10,4,1,3,11,10,78,60,63.24787546,102,88,0.12745098,0.137254902,0.138452199,0.01672297,0.120627988,0.131927543,0.146603474,0.816761137,0.072495502,0.698978101,0.064538521,0.473784352,0,0.377358491,0,0.473784352,0.655172414,0.461538462
26,33,-14,-11,-8,43,41,26,2,8,2,4,14,24,65,79,58.75733222,107,89,0.261682243,0.168224299,0.163232946,0.009791689,0.3142491,0.195060583,0.503103578,0.455475529,0.348952898,0.032618678,0.405465108,0.177681177,0.311111111,0.139534884,0.372675285,0.150282203,0.928571429,0.569230769
27a,34,-8,-6,-4,41,42,30,5,1,6,10,14,11,68,75,60.43080054,103,79,0.203883495,0.233009709,0.194237068,0.022772248,0.149940147,0.187211542,0.312374685,0.336472237,0.220001365,0.262364264,0.11506933,0.266628663,0.108695652,0.170212766,0.11506933,0.186585956,0.857142857,0.588235294
27b,35,-4,-2,0,42,36,31,3,5,9,2,2,12,70,57,43.17599685,86,82,0.162790698,0.046511628,0.222293813,0.015036012,0.158224005,0.028170877,0.303682414,0.149531734,0.126751706,-0.004618946,0.045462374,0,0.044444444,0,0.045462374,0,0.911764706,0.585714286
27c,36,0,2,4,36,34,31,6,6,2,3,0,10,62,48,39.56685779,75,72,0.173333333,0.04,0.242319448,-0.018751319,0.149531734,0,0.149531734,0.09237332,0.095464513,-9.71E-17,0.074107972,-0.072320662,0,0,0,0,0.837837838,0.564516129
27d,37,4,6,8,34,22,18,1,3,4,1,1,19,43,49,35.72131765,64,62,0.3125,0.03125,0.274142502,-0.059518863,0.365934269,0.022989518,0.635988767,0.200670695,0.330607117,0.023739987,0.419853846,0.044451763,0.342857143,0.043478261,0.419853846,0.044451763,0.947368421,0.651162791
28,38,8,10,12,22,19,14,5,1,0,1,5,7,37,32,29.99340958,50,44,0.16,0.12,0.312057328,-0.081765002,0.173271721,0.126751706,0.451985124,0.30538165,0.451985124,0.251314428,0.351397887,0.182321557,0.111111111,0.125,0.117783036,0.133531393,0.736842105,0.513513514
29a,39,12,17,22,19,1,1,0,0,15,4,0,3,39,29,20.02849389,46,42,0.152173913,0.086956522,0.576966835,0.388336385,0.074107972,0,2.944438979,0,-4.44E-16,-0.30538165,0.171850257,0,0.157894737,0,0.171850257,0,1,0.564102564
29b,40,22,27,32,1,1,1,18,1,0,0,0,0,39,1,13.12211669,39,39,0,0,0.375903892,-0.067595366,0,0,0,0,0,0,0,-0.051293294,0,-0.052631579,0,-0.051293294,0.052631579,0.025641026
30,41,32,54.5,77,1,16,1,0,15,0,1,0,0,39,23,15.88466757,40,39,0.025,0.025,0.381597549,-0.09621664,0,0,0,2.772588722,-0.236388778,-0.171850257,0,0,0,0,0,0,1,0.564102564
31,42,77,81.5,86,16,16,15,4,0,1,0,0,2,37,20,17.49615559,39,39,0.051282051,0,0.390686728,-0.071633336,0.052643733,0,0.064538521,0.064538521,0.064538521,0.064538521,0,0.051293294,0,0,0,0,0.789473684,0.486486486
32,43,86,124,162,16,17,16,0,2,0,0,0,0,37,20,13.81275441,37,37,0,0,0.368877514,-0.090361607,0,0,0,0.060624622,-0.162518929,-0.175764156,0,-0.057158414,0,0,0,0,1,0.540540541
33,44,162,164.5,167,17,17,17,3,0,0,0,0,0,37,19,15.43778434,37,37,0,0,0.390802801,-0.068257936,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.513513514
34,45,167,470,773,17,19,17,0,2,0,1,0,1,36,22,15.19402985,38,37,0.052631579,0.026315789,,,0.027398974,0,0,0.111225635,0,-0.051293294,0,0,0,0,0,0,1,0.555555556
35,46,773,823,873,19,15,15,0,0,1,0,0,1,35,19,13.12211669,36,36,0.027777778,0,,,0.028170877,0,0.236388778,0,0.236388778,0,0.171850257,0,0.157894737,0,0.171850257,0,1,0.514285714
36,47,873,921,969,15,15,15,0,1,1,0,1,2,33,18,12.43147897,36,35,0.055555556,0.027777778,,,0.0588405,0.029852963,0,0,0,0,-0.064538521,-0.064538521,0,0,0,0,1,0.454545455
37,48,969,976,983,15,14,14,0,1,0,0,0,0,34,17,11.74084125,34,34,0,0,,,0,0,0.068992871,0,0.068992871,0,0.068992871,-0.068992871,0.066666667,0,0.068992871,0,1,0.5
38,49,983,999.5,1016,14,14,14,0,0,3,0,1,0,34,16,11.05020353,35,34,0,0.028571429,,,0,0.028987537,0,0,-0.074107972,0,-0.194156014,0,0,0,0,0,1,0.441176471
39,50,1016,1032,1048,14,13,13,1,3,0,0,0,1,34,15,11.15645548,35,35,0.028571429,0,,,0.028987537,0,0.074107972,0,-1.39E-17,0,0.068992871,-0.194156014,0,-0.071428571,0,-0.068992871,0.928571429,0.411764706
40,51,1048,1062,1076,13,14,13,1,0,0,1,0,2,32,21,15.61903768,35,34,0.085714286,0.028571429,,,0.060624622,0,0,0.074107972,0,-1.39E-17,0,0.068992871,0,0,0,0,0.928571429,0.5625
41,52,1076,1125.5,1175,14,14,13,0,1,1,0,0,1,31,17,11.74084125,32,32,0.03125,0,,,0.031748698,0,0.074107972,0.074107972,0.074107972,-1.39E-17,0,0,0,0,0,0,1,0.516129032
42,53,1175,1214.5,1254,14,13,13,0,1,1,0,0,0,31,14,9.668928087,31,31,0,0,,,0,0,0.074107972,0,-1.39E-17,0,0,-0.074107972,0,0,0,0,1,0.451612903
43,54,1254,1281,1308,13,13,13,1,0,0,0,0,0,31,14,10.41269179,31,31,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.928571429,0.451612903
44,55,1308,1342.5,1377,13,13,13,0,0,0,0,0,0,31,14,9.668928087,31,31,0,0,,,0,0,0,0,0,-0.074107972,0,0,0,0,0,0,1,0.451612903
45,56,1377,1395.5,1414,13,13,13,0,0,1,0,0,0,31,14,9.668928087,31,31,0,0,,,0,0,0,0,-0.074107972,0,-0.074107972,0,0,0,0,0,1,0.451612903
46,57,1414,1442.5,1471,13,13,13,1,1,NA,0,0,0,31,13,9.668928087,31,31,0,0,,,0,0,0,0,NA,0,NA,-0.068992871,NA,-0.071428571,NA,-0.068992871,0.928571429,0.419354839
47,58,1471,1486,1501,13,NA,NA,NA,NA,NA,23,NA,31,NA,54,NA,54,31,1,0.425925926,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
